pdb_id,chain_a,chain_b,split,num_residues,num_binding
1J41,G,A,train,141,0
1J41,H,A,train,146,0
1KUK,A,B,val,201,17
1KUG,A,B,train,201,18
1LKK,A,B,train,105,22
1LZ1,A,,train,130,0
1KYF,A,P,train,247,10
1M5A,B,A,train,30,22
1M5A,D,A,train,30,2
1MFG,A,B,train,95,19
1LK2,A,B,val,274,44
1LK2,B,A,val,99,34
1MQK,L,H,train,109,24
1MQK,H,L,train,123,22
1MEX,L,H,train,213,48
1MEX,H,L,train,211,47
1MJU,L,H,train,219,59
1MJU,H,L,train,211,57
1K55,A,B,train,244,0
1K55,B,A,train,244,0
1K55,C,A,train,246,32
1K55,D,A,train,246,17
1MSO,B,A,train,30,21
1MSO,D,A,train,30,4
1MAH,A,F,train,533,27
1MAH,F,A,train,61,21
1GK8,A,C,train,464,17
1GK8,C,A,train,464,13
1GK8,E,A,train,460,0
1GK8,G,A,train,462,17
1GK8,I,A,train,125,44
1GK8,K,A,train,125,0
1GK8,M,A,train,125,0
1GK8,O,A,train,125,27
1N13,A,B,train,46,34
1N13,B,A,train,112,53
1N13,C,A,train,48,11
1N13,D,A,train,112,7
1N13,E,A,train,50,8
1N13,F,A,train,112,14
1N13,G,A,train,41,0
1N13,H,A,train,112,0
1N13,I,A,train,49,0
1N13,J,A,train,112,0
1N13,K,A,train,43,0
1N13,L,A,train,112,0
1N7S,A,B,train,63,36
1N7S,B,A,train,68,32
1N7S,C,A,train,79,9
1N7S,D,A,train,66,32
1HBN,A,B,test,543,27
1HBN,B,A,test,442,38
1HBN,C,A,test,247,57
1HBN,D,A,test,543,123
1HBN,E,A,test,442,55
1HBN,F,A,test,247,21
1NCA,N,L,test,389,14
1NCA,L,N,test,214,11
1NCA,H,N,test,221,14
1NCW,L,H,train,219,64
1NCW,H,L,train,222,57
1NH0,A,B,test,99,42
1NH0,B,A,test,99,41
1NLU,A,B,train,368,20
1OAI,A,B,val,59,15
1OBX,A,B,test,74,13
1O7N,A,B,train,448,56
1O7N,B,A,train,193,43
1MRO,A,B,test,543,28
1MRO,B,A,test,442,42
1MRO,C,A,test,247,55
1MRO,D,A,test,543,130
1MRO,E,A,test,442,60
1MRO,F,A,test,247,27
1OEX,A,B,train,328,36
1P2J,A,I,test,220,25
1P2J,I,A,test,56,17
1P7V,A,B,val,279,29
1PFB,A,B,train,55,20
1OGA,A,B,train,276,45
1OGA,B,A,train,100,32
1OGA,D,A,train,200,8
1OGA,E,A,train,241,10
1N61,A,B,train,161,57
1N61,C,A,train,287,34
1N61,D,A,train,158,0
1N61,E,A,train,795,1
1N61,F,A,train,286,0
1N60,A,B,train,161,56
1N60,C,A,train,286,36
1N60,D,A,train,158,0
1N60,E,A,train,796,0
1N60,F,A,train,286,0
1P7W,A,B,val,279,32
1N62,A,B,train,161,59
1N62,C,A,train,286,37
1N62,D,A,train,159,0
1N62,E,A,train,796,1
1N62,F,A,train,286,0
1PPE,E,I,train,223,27
1PQ8,A,C,val,225,25
1QTN,A,B,train,152,63
1QTN,B,A,train,90,54
1QA9,A,B,train,102,16
1QA9,B,A,train,95,17
1QA9,C,A,train,102,1
1QA9,D,A,train,95,0
1R0R,E,I,train,274,27
1R0R,I,E,train,51,19
1RJC,A,B,train,123,26
1RJC,B,A,train,129,23
1N63,A,B,train,160,57
1N63,C,A,train,287,36
1N63,D,A,train,158,0
1N63,E,A,train,795,0
1N63,F,A,train,286,0
1R8S,A,E,val,160,33
1R8S,E,A,val,187,39
1SGP,E,I,train,185,25
1SGP,I,E,train,51,14
1SKG,A,B,test,121,14
1RDQ,E,I,train,340,36
1Q7L,A,B,train,192,85
1Q7L,B,A,train,88,70
1Q7L,C,A,train,192,16
1Q7L,D,A,train,85,12
1SQZ,A,B,train,121,7
1SSH,A,B,train,60,13
1SQ2,L,N,train,129,25
1SQ2,N,L,train,112,20
1QOP,A,B,val,265,45
1QOP,B,A,val,390,39
1RUK,L,H,train,219,67
1RUK,H,L,train,222,58
1TG1,A,C,train,121,18
1TJ9,A,B,train,121,19
1TJK,A,I,train,121,14
1TK4,A,B,train,121,17
1RUP,L,H,train,219,63
1RUP,H,L,train,222,58
1SVF,A,B,train,64,24
1SVF,B,A,train,38,24
1SVF,C,A,train,62,0
1SVF,D,A,train,35,0
1T7R,A,B,test,250,17
1TM5,E,I,train,281,26
1TM5,I,E,train,64,17
1TO2,E,I,test,281,29
1TO2,I,E,test,64,19
1UBL,S,L,train,267,93
1UBL,L,S,train,534,95
1UBH,S,L,train,267,93
1UBH,L,S,train,534,100
1UBJ,S,L,train,267,93
1UBJ,L,S,train,534,96
1UBM,S,L,test,267,94
1UBM,L,S,test,534,95
1UBK,S,L,test,267,92
1UBK,L,S,test,534,95
1UBO,S,L,train,267,94
1UBO,L,S,train,534,99
1VWG,B,P,train,121,20
1UDI,E,I,train,227,27
1UDI,I,E,train,83,26
1UBR,S,L,train,267,93
1UBR,L,S,train,534,95
1W70,A,B,test,60,11
1W70,B,A,test,60,13
1VWL,B,D,train,123,56
1VWL,D,B,train,121,58
1VWJ,B,D,test,123,58
1VWJ,D,B,test,121,57
1VWK,B,D,train,123,56
1VWK,D,B,train,121,58
1WKR,A,I,train,340,28
1WEJ,L,H,train,214,61
1WEJ,H,L,train,223,59
1WEJ,F,L,train,104,11
1UBT,S,L,train,267,95
1UBT,L,S,train,534,95
1UBU,S,L,train,267,94
1UBU,L,S,train,534,95
1WXC,A,B,train,273,37
1WXC,B,A,train,72,21
1WUH,S,L,test,267,93
1WUH,L,S,test,532,98
1WUI,S,L,test,267,93
1WUI,L,S,test,532,94
1WDD,A,S,test,464,52
1WDD,S,A,test,121,44
1WDD,E,A,test,463,122
1WDD,W,A,test,121,0
1X7Q,A,B,train,275,42
1X7Q,B,A,train,99,30
1WUJ,S,L,train,267,92
1WUJ,L,S,train,533,97
1XD3,A,B,test,229,46
1XD3,B,A,test,75,25
1XD3,C,A,test,227,4
1XD3,D,A,test,75,6
1XVM,A,B,train,224,22
1WUK,S,L,train,267,92
1WUK,L,S,train,533,96
1Y43,A,B,train,32,32
1Y43,B,A,train,171,80
1YC5,A,B,train,234,21
1YMT,A,B,train,235,14
1XF6,A,B,train,75,23
1XF6,B,A,train,67,28
1XF6,C,A,train,172,57
1XF6,D,A,train,176,27
1ZGX,A,B,train,63,35
1ZGX,B,A,train,33,26
1XMZ,A,C,train,59,57
1XMZ,C,A,train,165,53
1XMZ,B,A,train,66,0
1XMZ,D,A,train,165,4
1Z0J,A,B,train,169,21
1Z0J,B,A,train,51,16
1XG0,A,B,val,75,23
1XG0,B,A,val,67,24
1XG0,C,A,val,173,57
1XG0,D,A,val,176,27
1W6S,A,B,train,596,63
1W6S,B,A,train,73,41
1W6S,C,A,train,597,61
1W6S,D,A,train,73,0
1YPH,C,A,train,131,14
1YPH,E,A,train,97,5
1YPH,D,A,train,131,0
1YPH,F,A,train,97,0
2A53,A,B,train,64,43
2A53,B,A,train,167,57
2A53,C,A,train,59,0
2A53,D,A,train,167,5
2A54,A,B,train,64,42
2A54,B,A,train,167,56
2A54,C,A,train,59,0
2A54,D,A,train,167,5
2A50,A,B,val,64,42
2A50,B,A,val,167,56
2A50,C,A,val,59,0
2A50,D,A,val,167,5
2AGE,X,A,train,223,21
2A83,A,B,val,276,46
2A83,B,A,val,100,31
2AGG,X,A,train,223,20
2AGI,X,A,val,223,20
24XP,A,C,val,311,32
24XP,B,A,val,304,21
1M1N,A,B,train,477,126
1M1N,B,A,train,522,112
1M1N,C,A,train,477,0
1M1N,D,A,train,522,35
1M1N,E,A,train,477,0
1M1N,F,A,train,522,0
1M1N,G,A,train,477,0
1M1N,H,A,train,522,0
1ZKK,A,B,test,160,13
1ZKK,B,A,test,161,13
1ZKK,C,A,test,160,13
1ZKK,D,A,test,161,0
2AOF,A,B,train,99,40
2AOF,B,A,train,99,40
2AOH,A,B,val,99,43
2AOH,B,A,val,99,40
2AXI,A,B,val,92,18
2AOI,A,B,val,99,40
2AOI,B,A,val,99,40
2AGW,D,H,val,108,0
2AGW,H,D,val,118,0
2AGW,A,D,val,360,35
2AGW,B,D,val,361,50
2BFD,A,B,train,374,47
2BFD,B,A,train,332,54
2AGL,D,H,test,108,0
2AGL,H,D,test,118,0
2AGL,A,D,test,360,35
2AGL,B,D,test,360,48
2BN1,B,A,train,30,20
2BN3,B,A,train,30,20
2AH0,D,H,test,108,0
2AH0,H,D,test,108,0
2AH0,A,D,test,360,35
2AH0,B,D,test,361,50
2BFF,A,B,train,392,49
2BFF,B,A,train,332,53
2BMO,A,B,test,437,53
2BMO,B,A,test,194,40
2AGY,D,H,val,108,0
2AGY,H,D,val,104,0
2AGY,A,D,val,360,35
2AGY,B,D,val,361,51
2BVS,H,I,val,252,17
2BVR,H,I,train,251,16
2BNU,A,B,train,203,55
2BNU,B,A,train,241,63
2CIA,A,L,train,98,21
2C3V,A,B,train,92,12
2C3V,B,A,train,94,15
2AH1,D,H,train,109,0
2AH1,H,D,train,109,0
2AH1,A,D,train,359,31
2AH1,B,D,train,360,44
2BVP,A,B,train,274,46
2BVP,B,A,train,99,33
2BTF,A,P,train,373,26
2BTF,P,A,train,139,23
2DF6,A,B,train,59,2
2DF6,B,A,train,59,4
2D5X,A,B,test,141,24
2D5X,B,A,test,146,22
2CF8,H,I,train,250,15
2CZ1,A,B,val,194,88
2CZ1,B,A,val,211,97
2CN0,H,I,val,250,14
2DRK,A,B,val,59,13
2DKO,A,B,test,146,55
2DKO,B,A,test,103,54
2DN3,A,B,train,141,24
2DN3,B,A,train,146,28
2DN1,A,B,train,140,25
2DN1,B,A,train,145,26
2F3Y,A,B,train,146,44
2DRM,A,B,train,58,8
2DRM,B,A,train,58,5
2DRM,C,A,train,58,12
2DRM,D,A,train,58,0
2D5Z,A,B,train,141,21
2D5Z,B,A,train,145,26
2D5Z,C,A,train,141,12
2D5Z,D,A,train,145,19
2FHZ,A,B,train,106,35
2FHZ,B,A,train,93,33
2FCW,A,B,val,106,19
2FCW,B,A,val,78,21
2FNT,A,B,test,99,34
2FNT,B,A,test,99,36
2F69,A,B,train,244,29
2G58,A,B,test,121,16
2F91,A,B,train,237,42
2F91,B,A,train,33,22
2G3D,A,B,train,65,51
2G3D,B,A,train,165,70
2G2S,A,B,test,64,52
2G2S,B,A,test,164,66
2GCO,A,B,val,187,14
2GCO,B,A,val,182,15
2DN2,A,B,train,141,22
2DN2,B,A,train,146,23
2DN2,C,A,train,141,6
2DN2,D,A,train,146,17
2H6M,A,I,train,212,23
2G5L,A,B,train,121,46
2G5L,B,A,train,105,51
2GRR,A,B,train,157,20
2GRR,B,A,train,157,14
2HO2,A,B,train,33,8
2H5D,A,B,train,198,29
2HAL,A,I,test,212,22
2H9H,A,I,val,212,23
2HRK,A,B,val,177,19
2HRK,B,A,val,121,20
2H8F,A,B,train,142,23
2H8F,B,A,train,146,21
2H8F,C,A,train,142,9
2H8F,D,A,train,146,16
2IFQ,A,B,test,104,12
2IFQ,B,A,test,105,15
2IFQ,C,A,test,104,0
2I25,N,L,test,114,18
2I25,L,N,test,129,25
2I25,O,N,test,117,15
2I25,M,N,test,129,9
2ITK,A,B,train,145,15
2IZX,A,B,train,39,24
2IZX,B,A,train,41,24
2HKR,D,H,test,109,0
2HKR,H,D,test,121,0
2HKR,A,D,test,360,31
2HKR,B,D,test,360,47
2J30,A,B,val,245,22
2HXC,D,H,train,109,0
2HXC,H,D,train,109,0
2HXC,A,D,train,359,31
2HXC,B,D,train,360,46
2I0T,D,H,train,120,0
2I0T,H,D,train,121,0
2I0T,A,D,train,359,31
2I0T,B,D,train,361,45
2D5W,A,B,train,602,25
2D5W,B,A,train,602,24
2I0R,D,H,train,123,0
2I0R,H,D,train,121,0
2I0R,A,D,train,360,33
2I0R,B,D,train,360,46
2J32,A,B,test,240,22
2I0S,D,H,train,123,0
2I0S,H,D,train,121,0
2I0S,A,D,train,360,35
2I0S,B,D,train,360,45
2JBA,A,B,train,125,15
2JBA,B,A,train,121,15
2OEI,A,B,train,37,8
2O5G,A,B,test,147,44
2J9J,A,B,train,94,41
2J9J,B,A,train,94,37
2JKH,A,L,test,234,27
2JKH,L,A,test,54,26
2NW2,A,B,train,197,61
2NW2,B,A,train,243,65
2JE4,A,B,train,96,38
2JE4,B,A,train,96,40
2OOB,A,B,test,44,9
2OOB,B,A,test,72,13
2OXW,A,X,train,158,11
2IUR,A,B,train,360,23
2IUR,B,A,train,361,22
2IUR,D,A,train,109,30
2IUR,H,A,train,121,36
2P45,A,B,train,124,17
2P45,B,A,train,116,19
2P49,A,B,train,119,19
2P49,B,A,train,123,20
2PIE,A,F,val,132,15
2OLB,A,B,test,517,26
2PUY,A,B,train,59,11
2PUY,B,A,train,60,17
2PV1,A,B,train,103,23
2QA9,E,I,train,185,22
2PTC,E,I,train,223,26
2PTC,I,E,train,58,18
2QFA,A,B,train,137,36
2QFA,B,A,train,62,31
2QFA,C,A,train,45,21
2OK6,D,H,train,109,0
2OK6,H,D,train,119,0
2OK6,A,D,train,359,31
2OK6,B,D,train,360,45
2PV2,A,B,train,103,11
2PV2,B,A,train,103,11
2PV2,C,A,train,103,5
2PV2,D,A,train,103,0
2QDY,A,B,train,195,88
2QDY,B,A,train,211,91
2OIZ,D,H,train,109,0
2OIZ,H,D,train,121,0
2OIZ,A,D,train,360,34
2OIZ,B,D,train,361,49
2RI7,A,P,train,168,19
2OK4,D,H,test,109,0
2OK4,H,D,test,121,0
2OK4,A,D,test,360,31
2OK4,B,D,test,361,46
2R80,A,B,train,141,23
2R80,B,A,train,146,26
2R80,C,A,train,141,6
2R80,D,A,train,146,14
2UUF,B,A,val,252,29
2UUJ,B,A,train,252,31
2OXG,Z,Y,train,108,31
2OXG,Y,Z,train,112,27
2OXG,A,Z,train,108,0
2OXG,B,Z,train,110,6
2OXG,C,Z,train,101,0
2OXG,D,Z,train,111,4
2OXG,E,Z,train,99,0
2OXG,F,Z,train,112,0
2SIC,E,I,train,275,31
2SIC,I,E,train,107,17
2RA3,A,B,train,224,14
2RA3,B,A,train,224,15
2RA3,I,A,train,58,0
2RA3,C,A,train,56,17
2UYZ,A,B,train,156,23
2UYZ,B,A,train,78,18
2UUK,B,A,train,252,31
2V89,A,B,val,78,9
2V89,B,A,val,74,12
2UUY,A,B,train,223,26
2UUY,B,A,train,52,15
2VIF,A,P,train,131,34
2VH3,A,B,val,110,24
2VH3,B,A,val,110,28
2V8F,A,B,train,138,9
2V8F,B,A,train,138,8
2V52,B,M,train,360,32
2V52,M,B,train,30,21
2WFJ,A,B,train,172,14
2WWZ,A,B,train,76,6
2WWZ,B,A,train,72,4
2WWZ,C,A,train,32,10
2WLV,A,B,train,144,21
2WLV,B,A,train,144,27
2X7K,A,B,test,164,19
2R9P,A,B,train,224,21
2R9P,B,A,train,224,20
2R9P,C,A,train,224,9
2R9P,D,A,train,224,8
2R9P,I,A,train,58,0
2R9P,E,A,train,58,17
2R9P,F,A,train,58,0
2R9P,G,A,train,58,0
2W72,A,B,train,141,23
2W72,B,A,train,146,25
2W72,C,A,train,141,10
2W72,D,A,train,146,17
2XN6,A,B,train,338,74
2XN6,B,A,train,34,34
2XN7,A,B,train,340,74
2XN7,B,A,train,34,34
2W73,A,B,val,145,13
2W73,B,A,val,145,15
2W73,E,A,val,145,0
2W73,F,A,val,146,3
2XT1,A,B,train,86,18
2XT1,B,A,train,114,26
2XRW,A,B,train,349,18
2WNV,A,B,train,132,28
2WNV,B,A,train,132,29
2WNV,C,A,train,129,28
2WNV,D,A,train,134,0
2WNV,E,A,train,130,0
2WNV,F,A,train,129,15
2XTT,A,B,train,35,21
2XTT,B,A,train,223,36
2XQQ,A,B,train,87,9
2XQQ,B,A,train,89,7
2XQQ,C,A,train,86,25
2XQQ,D,A,train,85,0
2XKN,A,B,train,213,51
2XKN,B,A,train,209,45
2XKN,C,A,train,213,12
2XKN,D,A,train,211,0
2XDW,A,P,train,710,16
2XZC,H,L,train,213,48
2XZC,L,H,train,215,48
2Y5F,A,L,train,234,32
2Y5F,L,A,train,54,24
2Y5G,A,L,val,234,32
2Y5G,L,A,val,54,25
2Y5H,A,L,train,234,30
2Y5H,L,A,train,54,26
2Z6W,A,B,train,164,13
2Z6W,B,A,train,164,15
2ZCF,A,B,train,196,86
2ZCF,B,A,train,212,95
2ZFD,A,B,train,183,43
2ZFD,B,A,train,116,35
2ZMZ,A,B,train,273,43
2ZMZ,B,A,train,79,26
2ZMX,A,B,train,277,47
2ZMX,B,A,train,77,24
2ZMY,A,B,train,277,43
2ZMY,B,A,train,78,24
2ZWD,A,B,train,273,44
2ZWD,B,A,train,73,23
2ZPG,A,B,test,194,85
2ZPG,B,A,test,211,96
2ZPB,A,B,train,195,87
2ZPB,B,A,train,211,95
2ZWF,A,B,train,276,43
2ZWF,B,A,train,71,20
2ZWG,A,B,train,276,43
2ZWG,B,A,train,71,20
2ZWE,A,B,train,276,45
2ZWE,B,A,train,77,24
3A9J,A,B,train,76,6
3A9J,B,A,train,77,5
3A9J,C,A,train,32,10
3ASL,A,B,train,68,19
3A8G,A,B,val,195,83
3A8G,B,A,val,212,92
3A9K,A,B,train,76,5
3A9K,B,A,train,77,5
2XTS,A,B,train,389,118
2XTS,B,A,train,204,92
2XTS,C,A,train,389,100
2XTS,D,A,train,204,23
3A8M,A,B,train,195,84
3A8M,B,A,train,212,93
3AWT,A,B,train,278,45
3AWT,B,A,train,78,25
3AWS,A,B,train,273,45
3AWS,B,A,train,78,23
3AWV,A,B,train,273,40
3AWV,B,A,train,78,24
3AWU,A,B,train,278,45
3AWU,B,A,train,78,25
3AWW,A,B,train,278,46
3AWW,B,A,train,77,24
3AWZ,A,B,train,278,44
3AWZ,B,A,train,78,25
3AWX,A,B,train,278,43
3AWX,B,A,train,72,23
3B7V,A,B,train,99,38
3B7V,B,A,train,99,38
3BFQ,G,F,val,132,40
3AX0,A,B,val,273,45
3AX0,B,A,val,78,24
3BOG,A,B,train,80,0
3BOG,B,A,train,80,0
3BOG,C,A,train,37,6
3BOG,D,A,train,37,3
3BOO,A,B,train,419,25
2J5G,A,B,train,249,34
2J5G,B,A,train,250,39
2J5G,C,A,train,249,35
2J5G,D,A,train,249,33
2J5G,E,A,train,249,18
2J5G,F,A,train,249,1
2J5G,G,A,train,249,0
2J5G,H,A,train,249,0
2J5G,I,A,train,249,0
2J5G,J,A,train,249,1
2J5G,K,A,train,248,0
2J5G,L,A,train,249,1
3BUW,B,A,train,305,16
3BUW,D,A,train,305,0
3BXQ,B,A,train,30,21
3BXQ,D,A,train,30,4
3BZZ,B,A,train,81,34
3BZY,B,A,test,83,37
3C00,B,A,test,83,32
3BOM,A,B,train,142,23
3BOM,B,A,train,147,25
3BOM,C,A,train,142,11
3BOM,D,A,train,147,18
3BDG,A,B,train,434,94
3BDG,B,A,train,433,94
3CJS,A,B,train,58,14
3CJS,B,A,train,72,22
3CJS,C,A,train,68,10
3BWA,A,B,train,276,45
3BWA,B,A,train,100,32
3BUX,B,A,train,305,23
3BUX,D,A,train,305,0
3CBP,A,B,train,239,19
3D3B,A,J,train,139,25
3D3B,J,A,train,87,29
3D32,A,B,train,118,9
3D32,B,A,train,116,7
3D1K,A,B,train,142,22
3D1K,B,A,train,146,23
3CZF,A,B,train,276,44
3CZF,B,A,train,100,32
3DS4,A,B,train,77,13
3DS4,B,A,train,75,14
3DNJ,A,B,test,80,17
3DNJ,B,A,test,81,18
3D25,A,B,train,274,37
3D25,B,A,train,98,32
3EXX,B,A,train,30,20
3EXX,D,A,train,30,2
3D9A,C,L,train,129,13
3D9A,L,C,train,213,15
3D9A,H,C,train,210,15
3FDO,A,B,train,90,19
3FE7,A,L,test,83,19
3EMH,A,B,train,300,23
3FEA,A,L,val,83,16
3F1P,A,B,train,114,27
3F1P,B,A,train,111,29
3FIL,A,B,test,55,15
3FIL,B,A,test,56,13
3FQ9,B,A,test,30,22
3FQ9,D,A,test,30,3
3FP8,E,I,val,223,28
3FP8,I,E,val,58,14
3G8F,A,B,train,121,15
3FP7,E,I,train,223,20
3FP7,J,E,train,43,9
3G1B,A,B,test,80,18
3G1B,B,A,test,81,17
3GP2,A,B,train,146,38
3DRF,A,B,train,539,33
3GKV,A,B,test,142,20
3GKV,B,A,test,146,22
3GOF,A,B,train,144,13
3GOF,B,A,train,144,16
3HDS,A,B,train,116,0
3HDS,B,A,train,115,0
3HDS,C,A,train,109,0
3HDS,D,A,train,109,44
3HPW,A,B,train,101,27
3HPW,B,A,train,101,28
3HPW,C,A,train,33,16
3HSV,A,B,train,133,13
3HSV,B,A,train,132,7
3HFL,L,H,train,212,43
3HFL,H,L,train,214,37
3HFL,Y,L,train,129,9
3HHT,A,B,train,200,99
3HHT,B,A,train,227,109
3F9X,A,B,train,160,12
3F9X,B,A,train,160,14
3F9X,C,A,train,160,11
3F9X,D,A,train,161,0
3IQJ,A,P,train,235,25
3IVV,A,D,train,140,14
3IQU,A,P,train,235,22
3JQL,A,B,val,119,16
3KUJ,A,B,train,77,19
3IQV,A,P,train,235,21
3KNB,A,B,train,98,25
3KNB,B,A,train,96,23
3KUS,A,B,test,82,11
3KUS,B,A,test,70,11
3KL6,A,B,train,232,25
3KL6,B,A,train,50,19
3KYJ,A,B,test,129,15
3KYJ,B,A,test,129,15
3AYX,A,B,train,595,101
3AYX,B,A,train,273,96
3AYX,C,A,train,595,14
3AYX,D,A,train,267,29
3L36,A,H,train,45,8
3L37,A,H,train,45,9
3LAE,A,X,train,78,7
3K4V,A,B,train,99,44
3K4V,B,A,train,99,39
3K4V,C,A,train,99,4
3K4V,D,A,train,99,0
3K05,A,B,train,193,18
3K05,B,A,train,200,9
3LNY,A,B,train,94,21
3L41,A,B,train,214,21
3AYZ,A,B,val,595,103
3AYZ,B,A,val,273,95
3AYZ,C,A,val,595,17
3AYZ,D,A,val,267,29
3L0F,A,B,train,162,13
3L0F,B,A,train,171,11
3LW1,A,P,train,234,25
3LN4,A,B,train,274,42
3LN4,B,A,train,99,36
3M7U,A,B,train,198,16
3M58,A,B,val,253,26
3MEA,A,B,train,162,12
3ME9,A,B,train,172,18
3ME9,B,A,train,174,23
3MEU,A,B,train,173,22
3MEU,B,A,train,174,30
3MHR,A,P,train,235,29
3MGN,A,B,train,45,23
3MGN,B,A,train,45,20
3MGN,C,A,train,45,22
3MGN,D,A,train,45,0
3MGN,E,A,train,45,0
3MGN,F,A,train,45,0
3MRB,A,B,train,275,42
3MRB,B,A,train,100,31
3MRE,A,B,train,274,43
3MRE,B,A,train,100,32
3MRG,A,B,val,274,44
3MRG,B,A,val,100,33
3MRK,A,B,val,274,40
3MRK,B,A,val,99,30
3NFK,A,B,train,92,11
3NFK,B,A,train,91,13
3N9G,H,L,train,229,52
3N9G,L,H,train,220,55
3NJN,A,B,train,114,27
3NJN,C,A,train,114,35
3O18,A,B,train,162,40
3O18,B,A,train,171,37
3NHE,A,B,train,337,69
3NHE,B,A,train,76,43
3O1F,A,B,val,80,12
3O1F,B,A,val,81,19
3OBQ,A,B,train,141,16
3O8Q,A,B,train,270,26
3O8Q,B,A,train,268,30
3OT1,A,B,train,194,35
3OT1,B,A,train,189,34
3P1N,A,P,train,234,19
3P17,H,L,train,251,27
3O2R,A,B,train,144,28
3O2R,B,A,train,143,28
3O2R,C,A,train,144,0
3O2R,D,A,train,143,3
3P34,A,B,test,230,20
3PLU,A,B,train,74,9
3PLU,B,A,train,74,6
3P95,A,E,train,224,35
3P95,E,A,train,58,16
3P73,A,B,train,275,50
3P73,B,A,train,99,34
3Q1I,A,E,train,216,19
3PTL,A,B,train,279,27
3QL9,A,C,train,125,30
3QGJ,A,B,train,198,22
3QGJ,C,A,train,198,3
3QX5,H,L,train,251,32
3M1V,A,B,train,543,28
3M1V,B,A,train,442,37
3M1V,C,A,train,246,54
3M1V,D,A,train,543,132
3M1V,E,A,train,442,58
3M1V,F,A,train,246,28
3M30,A,B,train,543,28
3M30,B,A,train,442,35
3M30,C,A,train,246,53
3M30,D,A,train,543,128
3M30,E,A,train,442,55
3M30,F,A,train,246,26
3M2U,A,B,train,543,26
3M2U,B,A,train,442,38
3M2U,C,A,train,246,52
3M2U,D,A,train,543,128
3M2U,E,A,train,442,56
3M2U,F,A,train,246,26
3RM1,A,B,train,89,15
3R0L,A,B,train,33,20
3R0L,B,A,train,32,14
3R0L,D,A,train,122,15
3M32,A,B,train,543,25
